Date-2023-08-05,Time-15:00,Comp-Championship,Round-Matchweek 1,Day-Sat,Venue-Away,Result-L,GF-1,GA-3,Opponent-Plymouth Argyle,xG-2.0,xGA-2.4,Poss-48,Attendance-16446,Captain-Michał Helik,Formation-4-2-3-1,Opp Formation-4-3-3,Referee-Matt Donohue,Match Report-Match Report,Notes-Unnamed: 19_level_1,Season-2023-2024,Team-Brentford
2023-10-28,12:30,Championship,Matchweek 14,Sat,Away,L,1,4,Leeds United,0.9,1.7,26,36813,Jonathan Hogg,4-1-4-1,4-2-3-1,James Bell,Match Report,,2023-2024,Brentford
2023-11-04,15:00,Championship,Matchweek 15,Sat,Home,D,0,0,Watford,0.1,0.4,30,18225,Michał Helik,5-4-1,4-3-3,Sunny Gill,Match Report,,2023-2024,Brentford
2023-11-11,15:00,Championship,Matchweek 16,Sat,Away,L,0,1,Hull City,0.1,1.4,25,20630,Jonathan Hogg,5-4-1,4-2-3-1,Matt Donohue,Match Report,,2023-2024,Brentford
2023-11-25,15:00,Championship,Matchweek 17,Sat,Home,D,1,1,Southampton,0.5,1.5,23,19387,Jonathan Hogg,3-4-3,4-3-3,David Webb,Match Report,,2023-2024,Brentford
2023-11-29,19:45,Championship,Matchweek 18,Wed,Away,W,2,1,Sunderland,0.9,2.6,24,37728,Jonathan Hogg,3-4-3,4-2-3-1,Matt Donohue,Match Report,,2023-2024,Brentford
2023-12-02,15:00,Championship,Matchweek 19,Sat,Away,D,1,1,Swansea City,0.3,1.6,23,14725,Jonathan Hogg,5-4-1,4-3-2-1,Steve Martin,Match Report,,2023-2024,Brentford
2023-12-09,15:00,Championship,Matchweek 20,Sat,Home,D,1,1,Bristol City,0.4,1.1,39,17429,Jonathan Hogg,3-5-2,3-4-3,Andrew Davies,Match Report,,2023-2024,Brentford
2023-12-12,19:45,Championship,Matchweek 21,Tue,Home,L,1,3,Preston,0.6,0.5,47,17549,Jonathan Hogg,3-5-2,3-4-1-2,John Busby,Match Report,,2023-2024,Brentford
2023-12-16,15:00,Championship,Matchweek 22,Sat,Away,D,1,1,Millwall,1.5,1.4,54,15040,Jonathan Hogg,3-5-2,3-4-1-2,Darren Bond,Match Report,,2023-2024,Brentford
2023-12-23,15:00,Championship,Matchweek 23,Sat,Away,L,0,2,Norwich City,0.1,2.3,39,26067,Jonathan Hogg,3-5-2,4-2-3-1,Thomas Kirk,Match Report,,2023-2024,Brentford
2023-12-26,15:00,Championship,Matchweek 24,Tue,Home,W,3,0,Blackburn,1.2,0.5,33,20516,Jonathan Hogg,3-5-2,4-1-3-2,Darren England,Match Report,,2023-2024,Brentford
2023-12-29,19:45,Championship,Matchweek 25,Fri,Home,L,1,2,Middlesbrough,0.8,1.4,43,20045,Jonathan Hogg,3-5-2,4-2-3-1,Ben Toner,Match Report,,2023-2024,Brentford
2024-01-01,15:00,Championship,Matchweek 26,Mon,Away,L,1,4,Leicester City,1.0,2.0,26,30407,Michał Helik,3-5-2,4-2-3-1,Samuel Allison,Match Report,,2023-2024,Brentford
2024-01-07,14:00,FA Cup,Third round proper,Sun,Away,L,0,5,Manchester City,,,16,51939,Michał Helik,5-4-1,4-2-3-1,Michael Salisbury,Match Report,,2023-2024,Brentford
2024-01-13,15:00,Championship,Matchweek 27,Sat,Home,D,1,1,Plymouth Argyle,0.6,0.8,62,20253,Jonathan Hogg,3-5-2,3-4-3,Tom Nield,Match Report,,2023-2024,Brentford
2024-01-20,15:00,Championship,Matchweek 28,Sat,Away,D,1,1,Blackburn,1.4,1.2,33,14529,Jonathan Hogg,3-5-2,3-5-2,James Linington,Match Report,,2023-2024,Brentford
2024-01-28,13:30,Championship,Matchweek 29,Sun,Away,D,1,1,QPR,1.9,0.4,48,16483,Jonathan Hogg,3-4-3,4-2-3-1,Stephen Martin,Match Report,,2023-2024,Brentford
2024-02-03,15:00,Championship,Matchweek 30,Sat,Home,W,4,0,Sheffield Weds,1.9,0.5,40,21067,Jonathan Hogg,4-2-3-1,4-2-3-1,Matt Donohue,Match Report,,2023-2024,Brentford
2024-02-10,15:00,Championship,Matchweek 31,Sat,Away,L,3,5,Southampton,1.2,1.5,30,29863,Jonathan Hogg,3-4-3,4-3-3,David Webb,Match Report,,2023-2024,Brentford
2024-02-14,19:45,Championship,Matchweek 32,Wed,Home,W,1,0,Sunderland,1.4,0.8,35,19550,Lee Nicholls,4-2-3-1,4-1-4-1,Gavin Ward,Match Report,,2023-2024,Brentford
2024-02-17,15:00,Championship,Matchweek 33,Sat,Home,L,1,2,Hull City,0.7,0.7,49,19947,Jonathan Hogg,4-2-3-1,4-2-3-1,Rebecca Welch,Match Report,,2023-2024,Brentford
2024-02-24,15:00,Championship,Matchweek 34,Sat,Away,W,2,1,Watford,0.8,1.2,45,18970,Jonathan Hogg,3-5-2,4-1-4-1,Ben Toner,Match Report,,2023-2024,Brentford
2024-03-02,12:30,Championship,Matchweek 35,Sat,Home,D,1,1,Leeds United,1.2,1.9,22,22351,Jonathan Hogg,4-4-2,4-2-3-1,Andrew Kitchen,Match Report,,2023-2024,Brentford
2024-03-06,19:45,Championship,Matchweek 36,Wed,Away,L,0,1,Cardiff City,1.7,0.6,53,17243,Michał Helik,3-4-3,4-2-3-1,Matt Donohue,Match Report,,2023-2024,Brentford
2024-03-10,12:00,Championship,Matchweek 37,Sun,Home,L,1,4,West Brom,1.6,1.6,40,19383,Jonathan Hogg,3-5-2,4-2-3-1,David Webb,Match Report,,2023-2024,Brentford
2024-03-16,15:00,Championship,Matchweek 38,Sat,Away,D,0,0,Rotherham Utd,1.1,0.4,50,11033,Jonathan Hogg,3-5-2,4-4-2,Joshua Smith,Match Report,,2023-2024,Brentford
2024-03-29,15:00,Championship,Matchweek 39,Fri,Home,L,1,3,Coventry City,1.5,1.1,46,20530,Jonathan Hogg,3-5-2,4-2-3-1,Adam Herczeg,Match Report,,2023-2024,Brentford
2024-04-01,15:00,Championship,Matchweek 40,Mon,Away,D,1,1,Stoke City,0.7,1.1,39,23917,Michał Helik,3-5-2,4-2-3-1,Rebecca Welch,Match Report,,2023-2024,Brentford
2024-04-06,15:00,Championship,Matchweek 41,Sat,Home,W,1,0,Millwall,1.4,1.0,52,18569,Michał Helik,4-4-2,4-4-2,James Linington,Match Report,,2023-2024,Brentford
2024-04-09,19:45,Championship,Matchweek 42,Tue,Away,L,1,4,Preston,0.7,2.4,41,14698,Michał Helik,4-4-1-1,3-4-1-2,Lewis Smith,Match Report,,2023-2024,Brentford
2024-04-13,15:00,Championship,Matchweek 43,Sat,Away,D,1,1,Bristol City,1.8,1.5,39,21003,Michał Helik,4-4-1-1,3-4-3,Rebecca Welch,Match Report,,2023-2024,Brentford
2024-04-20,15:00,Championship,Matchweek 44,Sat,Home,L,0,4,Swansea City,0.5,2.4,33,18935,Michał Helik,4-2-3-1,4-2-3-1,John Busby,Match Report,,2023-2024,Brentford
2024-04-27,15:00,Championship,Matchweek 45,Sat,Home,D,1,1,Birmingham City,1.1,1.1,54,22001,Michał Helik,3-5-2,4-2-3-1,Matt Donohue,Match Report,,2023-2024,Brentford
2024-05-04,12:30,Championship,Matchweek 46,Sat,Away,L,0,2,Ipswich Town,0.1,1.7,37,29011,Michał Helik,3-5-2,4-2-3-1,Simon Hooper,Match Report,,2023-2024,Brentford
